Job Title,Salary Minimum,Salary Maximum,Salary Average,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Jr. Data Analyst,$22.00 /hr,$24.00,$23.00 /hr (est.),,Custom Staffing,"Parsippany, NJ",,,,,,
DATA ANALYST,$34.00 /hr,$36.00,$35.00 /hr (est.),4.6,"RJM Technologies, Inc.
4.6","Washington, DC",1 to 50 Employees,2004,Company - Private,HR Consulting,Human Resources & Staffing,$1 to $5 million (USD)
Data Analyst,$75K ,$115K,"$95,000 /yr (est.)",,Delta Hire,Remote,Unknown,,Company - Private,,,Unknown / Non-Applicable
Data analyst Level 1,$35.00 /hr,$42.00,$38.50 /hr (est.),,"Computer Enterprises, Inc. (CEI)","Cincinnati, OH",Unknown,,Company - Public,,,Unknown / Non-Applicable
Data Analyst + Apprentice (Entry-Level),$35K ,$45K,"$40,000 /yr (est.)",3.3,"New Apprenticeship
3.3","Raleigh, NC",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Consultant - Data Analyst,,,,3.3,"Infosys
3.3",Remote,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
Data Analyst,$97K ,$135K,"$116,000 /yr (est.)",3.6,"KEYENCE
3.6","Itasca, IL",5001 to 10000 Employees,1974,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 million (USD)
"Remote - Test Data Analyst (SQL queries, ALM, Excel)",$50.00 /hr,$55.00,$52.50 /hr (est.),,Compest Solutions Inc,Remote,,,,,,
Data Analyst,$40K ,$40K,"$40,000 /yr (est.)",3.7,"Apollo Retail
3.7",Remote,1001 to 5000 Employees,1992,Company - Private,Other Retail Stores,Retail & Wholesale,$50 to $100 million (USD)
(REMOTE) AUSTIN based Data Analyst,$59K ,$72K,"$65,500 /yr (est.)",4.4,"iTalent Digital
4.4","Austin, TX",201 to 500 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Analyst (Business Intelligence),$80K ,$85K,"$82,500 /yr (est.)",3.8,"Millennial Specialty Insurance
3.8",Remote,501 to 1000 Employees,2006,Company - Private,Insurance Agencies & Brokerages,Insurance,$25 to $50 million (USD)
Data Analyst,$65K ,$80K,"$72,500 /yr (est.)",4.1,"Meritize
4.1",Remote,51 to 200 Employees,2016,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable
Data Reporting Analyst,$65K ,$85K,"$75,000 /yr (est.)",4.4,"iTalent Digital
4.4",Remote,201 to 500 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Analyst,,,,,LENDING USA,Remote,,,,,,
Junior Business Analyst,$47K ,$117K,"$81,773 /yr (est.)",3.9,"Genpact
3.9","Atlanta, GA",10000+ Employees,1997,Company - Public,Information Technology Support Services,Information Technology,$2 to $5 billion (USD)
Staff Cybersecurity Analyst (Remote),$120K ,$210K,"$165,000 /yr (est.)",3.8,"The Home Depot
3.8","Atlanta, GA",10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD)
Data Analyst,$90K ,$90K,"$90,000 /yr (est.)",2.7,"Ultimate Health Plans Inc.
2.7",Remote,1 to 50 Employees,,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable
Data Analyst II,$30.00 /hr,$37.00,$33.50 /hr (est.),4.4,"eTeam Inc
4.4",Remote,5001 to 10000 Employees,1999,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Data Analyst,$28.00 /hr,$32.00,$30.00 /hr (est.),4.4,"eTeam Inc
4.4","Jersey City, NJ",5001 to 10000 Employees,1999,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
RX Google Data Analyst,$120K ,$120K,"$120,000 /yr (est.)",3.9,"Talent Nexus for Lorien US (Impellam US)
3.9",Remote,1001 to 5000 Employees,2008,Company - Public,HR Consulting,Human Resources & Staffing,$2 to $5 billion (USD)
REMOTE Data Analyst,$130K ,$150K,"$140,000 /yr (est.)",4.1,"CyberCoders
4.1","Los Angeles, CA",201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Exciting Data Analyst Job - Direct Hire - Remote,$85K ,$105K,"$95,000 /yr (est.)",4.2,"The HT Group
4.2","Carolina, PR",1 to 50 Employees,2001,Company - Private,HR Consulting,Human Resources & Staffing,$10 to $25 million (USD)
Data Analyst,$63.00 /hr,$65.00,$64.00 /hr (est.),3.8,"Who... a staffing company
3.8",Remote,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Master Data Analyst,$40.00 /hr,$40.00,$40.00 /hr (est.),3.5,"Kelly
3.5","New Brunswick, NJ",5001 to 10000 Employees,1946,Company - Public,HR Consulting,Human Resources & Staffing,$5 to $10 billion (USD)
Data Analyst,$50.00 /hr,$60.00,$55.00 /hr (est.),,Insight Global,"San Francisco, CA",,,,,,
Data Analyst (Change Management),$60.00 /hr,$88.00,$74.00 /hr (est.),3.6,"Vector Technical Resources Inc.
3.6",Remote,51 to 200 Employees,,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
Remote Senior Data Analyst,$140K ,$160K,"$150,000 /yr (est.)",4.1,"CyberCoders
4.1","San Francisco, CA",201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Data Analyst - SQL/Excel,$68K ,$139K,"$97,144 /yr (est.)",4.8,"Ursus, Inc.
4.8","Menlo Park, CA",51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,$25 to $50 million (USD)
Data Analyst - 100% REMOTE,$40.00 /hr,$46.00,$43.00 /hr (est.),5.0,"SGA
5.0",Remote,Unknown,,Company - Public,,,Unknown / Non-Applicable
Data Analyst,$75K ,$115K,"$95,000 /yr (est.)",,Delta Hire,Remote,Unknown,,Company - Private,,,Unknown / Non-Applicable
Data Analyst Supporting the FBI,$25.29 /hr,$25.29,$25.29 /hr (est.),3.3,"FSA Federal
3.3","Linthicum, MD",1001 to 5000 Employees,2004,Company - Private,HR Consulting,Human Resources & Staffing,$50 to $100 million (USD)
Administrative Assistant/Data Analyst,$22.00 /hr,$26.00,$24.00 /hr (est.),3.3,"Integrity Consulting
3.3",Remote,1 to 50 Employees,,Company - Private,,,$1 to $5 million (USD)
Administrative Assistant / Data Analyst Supporting the DEA,$20.58 /hr,$20.58,$20.58 /hr (est.),3.3,"FSA Federal
3.3","Cincinnati, OH",1001 to 5000 Employees,2004,Company - Private,HR Consulting,Human Resources & Staffing,$50 to $100 million (USD)
Data Analyst,$75K ,$90K,"$82,500 /yr (est.)",,"J2A Systems, LLC",Remote,,,,,,
Consultant - Data Analyst,,,,3.3,"Infosys
3.3",Remote,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
Data Analyst + Apprentice (Entry-Level),$35K ,$45K,"$40,000 /yr (est.)",3.3,"New Apprenticeship
3.3","Raleigh, NC",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Data Analyst,$97K ,$135K,"$116,000 /yr (est.)",3.6,"KEYENCE
3.6","Itasca, IL",5001 to 10000 Employees,1974,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 million (USD)
Marketing Data Analyst - Seattle / Portland,$70K ,$110K,"$90,000 /yr (est.)",4.0,"Digishopgirl Media
4.0","Seattle, WA",Unknown,,Company - Private,,,Unknown / Non-Applicable
"Remote - Test Data Analyst (SQL queries, ALM, Excel)",$50.00 /hr,$55.00,$52.50 /hr (est.),,Compest Solutions Inc,Remote,,,,,,
"Analyst, Product Research, Telematics & Mobility Data Products",$62K ,$100K,"$81,200 /yr (est.)",3.9,"Liberty Mutual Insurance
3.9",Remote,10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
Data Analyst (Business Intelligence),$80K ,$85K,"$82,500 /yr (est.)",3.8,"Millennial Specialty Insurance
3.8",Remote,501 to 1000 Employees,2006,Company - Private,Insurance Agencies & Brokerages,Insurance,$25 to $50 million (USD)
(REMOTE) AUSTIN based Data Analyst,$59K ,$72K,"$65,500 /yr (est.)",4.4,"iTalent Digital
4.4","Austin, TX",201 to 500 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Analyst,$65K ,$80K,"$72,500 /yr (est.)",4.1,"Meritize
4.1",Remote,51 to 200 Employees,2016,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable
Data Reporting Analyst,$65K ,$85K,"$75,000 /yr (est.)",4.4,"iTalent Digital
4.4",Remote,201 to 500 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Analyst/Modeler,$80K ,$85K,"$82,500 /yr (est.)",3.8,"Millennial Specialty Insurance
3.8",Remote,501 to 1000 Employees,2006,Company - Private,Insurance Agencies & Brokerages,Insurance,$25 to $50 million (USD)
Data Analyst,$40K ,$40K,"$40,000 /yr (est.)",3.7,"Apollo Retail
3.7",Remote,1001 to 5000 Employees,1992,Company - Private,Other Retail Stores,Retail & Wholesale,$50 to $100 million (USD)
Staff Cybersecurity Analyst (Remote),$120K ,$210K,"$165,000 /yr (est.)",3.8,"The Home Depot
3.8","Atlanta, GA",10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD)
Data Analyst,$90K ,$90K,"$90,000 /yr (est.)",2.7,"Ultimate Health Plans Inc.
2.7",Remote,1 to 50 Employees,,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable
Junior Business Analyst,$47K ,$117K,"$81,773 /yr (est.)",3.9,"Genpact
3.9","Atlanta, GA",10000+ Employees,1997,Company - Public,Information Technology Support Services,Information Technology,$2 to $5 billion (USD)
SQL Data Analyst – Part Time,$18.00 /hr,$18.00,$18.00 /hr (est.),,Sackett Financial Group,"Brea, CA",,,,,,
Data Analyst,,,,,LENDING USA,Remote,,,,,,
Data Analyst II,$30.00 /hr,$37.00,$33.50 /hr (est.),4.4,"eTeam Inc
4.4",Remote,5001 to 10000 Employees,1999,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Data Analyst II,$90K ,$115K,"$102,500 /yr (est.)",2.3,"Holman
2.3","Mount Laurel, NJ",51 to 200 Employees,1964,Company - Private,Advertising & Public Relations,Media & Communication,$5 to $10 million (USD)
Saybrus Partners- Data Reporting Analyst,$50K ,$60K,"$54,815 /yr (est.)",3.5,"Saybrus Partners
3.5",Remote,51 to 200 Employees,2010,Company - Private,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD)
Data Analyst,$28.00 /hr,$32.00,$30.00 /hr (est.),4.4,"eTeam Inc
4.4","Jersey City, NJ",5001 to 10000 Employees,1999,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Administrative Assistant / Data Analyst Supporting the DEA,$20.58 /hr,$20.58,$20.58 /hr (est.),3.3,"FSA Federal
3.3","Cincinnati, OH",1001 to 5000 Employees,2004,Company - Private,HR Consulting,Human Resources & Staffing,$50 to $100 million (USD)
Data Analyst Supporting the DEA,$25.29 /hr,$25.29,$25.29 /hr (est.),3.3,"FSA Federal
3.3","Quantico, VA",1001 to 5000 Employees,2004,Company - Private,HR Consulting,Human Resources & Staffing,$50 to $100 million (USD)
RX Google Data Analyst,$120K ,$120K,"$120,000 /yr (est.)",3.9,"Talent Nexus for Lorien US (Impellam US)
3.9",Remote,1001 to 5000 Employees,2008,Company - Public,HR Consulting,Human Resources & Staffing,$2 to $5 billion (USD)
Data Analyst,$63.00 /hr,$65.00,$64.00 /hr (est.),3.8,"Who... a staffing company
3.8",Remote,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Master Data Analyst,$40.00 /hr,$40.00,$40.00 /hr (est.),3.5,"Kelly
3.5","New Brunswick, NJ",5001 to 10000 Employees,1946,Company - Public,HR Consulting,Human Resources & Staffing,$5 to $10 billion (USD)
REMOTE Data Analyst,$130K ,$150K,"$140,000 /yr (est.)",4.1,"CyberCoders
4.1","Los Angeles, CA",201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Exciting Data Analyst Job - Direct Hire - Remote,$85K ,$105K,"$95,000 /yr (est.)",4.2,"The HT Group
4.2","Carolina, PR",1 to 50 Employees,2001,Company - Private,HR Consulting,Human Resources & Staffing,$10 to $25 million (USD)
Business Data Analyst - Onboarding,$65K ,$85K,"$75,000 /yr (est.)",3.8,"Addison Group
3.8","Dallas, TX",501 to 1000 Employees,1999,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,Unknown / Non-Applicable
Data Analyst,$50.00 /hr,$60.00,$55.00 /hr (est.),,Insight Global,"San Francisco, CA",,,,,,
Consultant - Data Analyst,,,,3.3,"Infosys
3.3",Remote,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
Data Analyst + Apprentice (Entry-Level),$35K ,$45K,"$40,000 /yr (est.)",3.3,"New Apprenticeship
3.3","Raleigh, NC",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Data Analyst + Apprentice (Entry-Level),$35K ,$45K,"$40,000 /yr (est.)",3.3,"New Apprenticeship
3.3","Raleigh, NC",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
"Remote - Test Data Analyst (SQL queries, ALM, Excel)",$50.00 /hr,$55.00,$52.50 /hr (est.),,Compest Solutions Inc,Remote,,,,,,
Data Reporting Analyst,$65K ,$85K,"$75,000 /yr (est.)",4.4,"iTalent Digital
4.4",Remote,201 to 500 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Staff Cybersecurity Analyst (Remote),$120K ,$210K,"$165,000 /yr (est.)",3.8,"The Home Depot
3.8","Atlanta, GA",10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD)
Saybrus Partners- Data Reporting Analyst,$50K ,$60K,"$54,815 /yr (est.)",3.5,"Saybrus Partners
3.5",Remote,51 to 200 Employees,2010,Company - Private,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD)
Data Analyst,$65K ,$80K,"$72,500 /yr (est.)",4.1,"Meritize
4.1",Remote,51 to 200 Employees,2016,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable
Administrative Assistant / Data Analyst Supporting the DEA,$20.58 /hr,$20.58,$20.58 /hr (est.),3.3,"FSA Federal
3.3","Cincinnati, OH",1001 to 5000 Employees,2004,Company - Private,HR Consulting,Human Resources & Staffing,$50 to $100 million (USD)
Saybrus Partners- Data Reporting Analyst,$50K ,$60K,"$54,815 /yr (est.)",3.5,"Saybrus Partners
3.5",Remote,51 to 200 Employees,2010,Company - Private,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD)
REMOTE Data Analyst,$130K ,$150K,"$140,000 /yr (est.)",4.1,"CyberCoders
4.1","Los Angeles, CA",201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Data Analyst - SQL/Excel,$68K ,$139K,"$97,144 /yr (est.)",4.8,"Ursus, Inc.
4.8","Menlo Park, CA",51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,$25 to $50 million (USD)
Data Analyst,$50.00 /hr,$60.00,$55.00 /hr (est.),,Insight Global,"San Francisco, CA",,,,,,
Data analyst Level 1,$35.00 /hr,$42.00,$38.50 /hr (est.),,"Computer Enterprises, Inc. (CEI)","Cincinnati, OH",Unknown,,Company - Public,,,Unknown / Non-Applicable
Data Analyst,$75K ,$115K,"$95,000 /yr (est.)",,Delta Hire,Remote,Unknown,,Company - Private,,,Unknown / Non-Applicable
REMOTE Data Analyst,$130K ,$150K,"$140,000 /yr (est.)",4.1,"CyberCoders
4.1","Los Angeles, CA",201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Data Analyst - SQL/Excel,$68K ,$139K,"$97,144 /yr (est.)",4.8,"Ursus, Inc.
4.8","Menlo Park, CA",51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,$25 to $50 million (USD)
Jr. Data Analyst,$65K ,$80K,"$72,500 /yr (est.)",,Net2Aspire,Remote,,,,,,
Data Analyst,$20.00 /hr,$20.00,$20.00 /hr (est.),,Noble Light Solutions LLC,Remote,,,,,,
Data Analyst,$70K ,$80K,"$75,000 /yr (est.)",,Net2Aspire,Remote,,,,,,
Data Analyst - 100% REMOTE,$40.00 /hr,$46.00,$43.00 /hr (est.),5.0,"SGA
5.0",Remote,Unknown,,Company - Public,,,Unknown / Non-Applicable
Data Analyst,$75K ,$115K,"$95,000 /yr (est.)",,Delta Hire,Remote,Unknown,,Company - Private,,,Unknown / Non-Applicable
Data Analyst,$50.00 /hr,$60.00,$55.00 /hr (est.),,Insight Global,"San Francisco, CA",,,,,,
Data Analyst,$65.00 /hr,$75.00,$70.00 /hr (est.),,V-Tech Solutions,Remote,Unknown,,Company - Private,,,Unknown / Non-Applicable
Entry level Data Analyst,$40.00 /hr,$60.00,$50.00 /hr (est.),4.5,"Emonics LLC
4.5",Remote,501 to 1000 Employees,2018,Company - Private,HR Consulting,Human Resources & Staffing,$50 to $100 million (USD)
Entry Level Data Analyst,$60K ,$60K,"$60,000 /yr (est.)",4.5,"Antra, Inc
4.5",Remote,501 to 1000 Employees,2008,Company - Private,Information Technology Support Services,Information Technology,$10 to $25 million (USD)
Business Analyst,$35.00 /hr,$75.00,$55.00 /hr (est.),,Triunity software Inc.,Remote,,,,,,
Entry Level Data Analyst (Part-time),,,,3.4,"CORMAC
3.4",Remote,Unknown,2002,Company - Private,Software Development,Information Technology,Less than $1 million (USD)
Jr. Data Analyst,$65K ,$80K,"$72,500 /yr (est.)",,Net2Aspire,Remote,,,,,,
Data Analyst,$70K ,$80K,"$75,000 /yr (est.)",,Net2Aspire,Remote,,,,,,
Consultant - Data Analyst,,,,3.3,"Infosys
3.3",Remote,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
Data Analyst + Apprentice (Entry-Level),$35K ,$45K,"$40,000 /yr (est.)",3.3,"New Apprenticeship
3.3","Raleigh, NC",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Data Analyst,$97K ,$135K,"$116,000 /yr (est.)",3.6,"KEYENCE
3.6","Itasca, IL",5001 to 10000 Employees,1974,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 million (USD)
"Remote - Test Data Analyst (SQL queries, ALM, Excel)",$50.00 /hr,$55.00,$52.50 /hr (est.),,Compest Solutions Inc,Remote,,,,,,
Data Analyst,$65K ,$80K,"$72,500 /yr (est.)",4.1,"Meritize
4.1",Remote,51 to 200 Employees,2016,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable
Staff Cybersecurity Analyst (Remote),$120K ,$210K,"$165,000 /yr (est.)",3.8,"The Home Depot
3.8","Atlanta, GA",10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD)
Administrative Assistant / Data Analyst Supporting the DEA,$20.58 /hr,$20.58,$20.58 /hr (est.),3.3,"FSA Federal
3.3","Cincinnati, OH",1001 to 5000 Employees,2004,Company - Private,HR Consulting,Human Resources & Staffing,$50 to $100 million (USD)
Saybrus Partners- Data Reporting Analyst,$50K ,$60K,"$54,815 /yr (est.)",3.5,"Saybrus Partners
3.5",Remote,51 to 200 Employees,2010,Company - Private,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD)
Data Reporting Analyst,$65K ,$85K,"$75,000 /yr (est.)",4.4,"iTalent Digital
4.4",Remote,201 to 500 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data analyst Level 1,$35.00 /hr,$42.00,$38.50 /hr (est.),,"Computer Enterprises, Inc. (CEI)","Cincinnati, OH",Unknown,,Company - Public,,,Unknown / Non-Applicable
Data Analyst Supporting the DEA,$25.29 /hr,$25.29,$25.29 /hr (est.),3.3,"FSA Federal
3.3","Quantico, VA",1001 to 5000 Employees,2004,Company - Private,HR Consulting,Human Resources & Staffing,$50 to $100 million (USD)
REMOTE Data Analyst,$130K ,$150K,"$140,000 /yr (est.)",4.1,"CyberCoders
4.1","Los Angeles, CA",201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Data Analyst - SQL/Excel,$68K ,$139K,"$97,144 /yr (est.)",4.8,"Ursus, Inc.
4.8","Menlo Park, CA",51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,$25 to $50 million (USD)
Data Analyst - SQL/Excel,$68K ,$139K,"$97,144 /yr (est.)",4.8,"Ursus, Inc.
4.8","Menlo Park, CA",51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,$25 to $50 million (USD)
Data Analyst,$50.00 /hr,$60.00,$55.00 /hr (est.),,Insight Global,"San Francisco, CA",,,,,,
Data Analyst,$80K ,$85K,"$82,500 /yr (est.)",3.9,"Tatum by Randstad
3.9",Remote,10000+ Employees,1960,Company - Public,HR Consulting,Human Resources & Staffing,$10+ billion (USD)
Data Analyst,$75K ,$115K,"$95,000 /yr (est.)",,Delta Hire,Remote,Unknown,,Company - Private,,,Unknown / Non-Applicable
Data Analyst - 100% REMOTE,$40.00 /hr,$46.00,$43.00 /hr (est.),5.0,"SGA
5.0",Remote,Unknown,,Company - Public,,,Unknown / Non-Applicable
Data Analyst needed! Start ASAP!,$55K ,$65K,"$60,000 /yr (est.)",4.1,"Noor Staffing Group
4.1","New York, NY",51 to 200 Employees,2015,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
Data Analyst,$50.00 /hr,$60.00,$55.00 /hr (est.),,Insight Global,"San Francisco, CA",,,,,,
Jr. Data Analyst,$65K ,$80K,"$72,500 /yr (est.)",,Net2Aspire,Remote,,,,,,
Entry Level Data Analyst (Part-time),,,,3.4,"CORMAC
3.4",Remote,Unknown,2002,Company - Private,Software Development,Information Technology,Less than $1 million (USD)
Data Analyst,$70K ,$80K,"$75,000 /yr (est.)",,Net2Aspire,Remote,,,,,,
Data Analyst,$20.00 /hr,$20.00,$20.00 /hr (est.),,Noble Light Solutions LLC,Remote,,,,,,
