Job Title,Salary Minimum,Salary Maximum,Salary Average,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Systems Engineer - Audio/Visual Integration,$49K ,$108K,"$72,437 /yr (est.)",2.9,"Bluum
2.9","Saint Paul, MN",501 to 1000 Employees,1946,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Audio Engineer/Audio Visual Technician,,,,,RLC SOUND AND LIGHTING/ western suburbs Chicago,"Chicago, IL",,,,,,
Audio Visual (AV) Technology Engineer (Project Manager),,,,3.9,"The Travelers Companies, Inc.
3.9","Hartford, CT",10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
Audio Visual Systems Engineer,$70K ,$70K,"$70,000 /yr (est.)",4.2,"The Mom Project
4.2","New York, NY",51 to 200 Employees,2016,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
Audio Visual (AV) Engineer,$39.59 /hr,$45.84,$42.71 /hr (est.),3.9,"Robert Half
3.9","Richardson, TX",10000+ Employees,1948,Company - Public,HR Consulting,Human Resources & Staffing,$5 to $10 billion (USD)
"Senior Associate, Audio-Visual Engineer",$100K ,$125K,"$112,500 /yr (est.)",3.8,"TM Technology Partners
3.8",Remote,1 to 50 Employees,,Company - Private,Business Consulting,Management & Consulting,$5 to $10 million (USD)
Audio Visual Engineer - Poly,$54K ,$122K,"$81,352 /yr (est.)",3.8,"American Water
3.8","Camden, NJ",5001 to 10000 Employees,1886,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$2 to $5 billion (USD)
Audio Visual Engineer,$30.00 /hr,$37.00,$33.50 /hr (est.),4.0,"Infomatics Inc
4.0","Farmington Hills, MI",51 to 200 Employees,1998,Company - Private,Information Technology Support Services,Information Technology,$10 to $25 million (USD)
Audio Visual Sales Engineer,$80K ,$120K,"$100,000 /yr (est.)",,Commercial Technology,"Clifton, NJ",,,,,,
Senior Audio Visual Systems Engineer,$52K ,$96K,"$70,828 /yr (est.)",4.3,"POWER Engineers, Inc.
4.3","Boise, ID",1001 to 5000 Employees,1976,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$500 million to $1 billion (USD)
Audio Engineer,$47K ,$93K,"$65,776 /yr (est.)",4.1,"Cato Institute
4.1","Washington, DC",51 to 200 Employees,1976,Nonprofit Organization,Grantmaking & Charitable Foundations,Nonprofit & NGO,$25 to $50 million (USD)
Audio Visual Systems Design Engineer,$45K ,$65K,"$55,000 /yr (est.)",,Crescent Multimedia Solutions,Remote,,,,,,
Technical Design Engineer - Audio Visual - $70k and Up,$70K ,$70K,"$70,000 /yr (est.)",1.9,"All Pro Integrated Systems
1.9",Remote,51 to 200 Employees,1980,Company - Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$25 to $50 million (USD)
Audio-Visual Engineer,$64K ,$116K,"$86,085 /yr (est.)",3.0,"Applied Minds, LLC
3.0","Burbank, CA",51 to 200 Employees,,Company - Private,Computer Hardware Development,Information Technology,$10 to $25 million (USD)
Audio Visual Design Engineer,$44K ,$75K,"$57,568 /yr (est.)",3.7,"Conference Technologies, Inc.
3.7","Atlanta, GA",201 to 500 Employees,1988,Company - Private,Telecommunications Services,Telecommunications,$50 to $100 million (USD)
Audio Visual Sales Engineer,$56K ,$112K,"$78,733 /yr (est.)",3.8,"Access Communications
3.8","San Jose, CA",51 to 200 Employees,,Company - Private,,,$25 to $50 million (USD)
Audio Visual Technician,$20.00 /hr,$50.00,$35.00 /hr (est.),,Corporate Audio Visual Labor,"Atlanta, GA",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
AUDIO VIDEO SYSTEMS ENGINEER/Jr. CRESTRON PROGRAMMER,,,"$90,000 /yr (est.)",3.6,"LSS
3.6","Olympia, WA",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Sr. Audio-Visual Engineer,$120K ,$120K,"$120,000 /yr (est.)",4.2,"The Mom Project
4.2","New York, NY",51 to 200 Employees,2016,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
Technical Sound Designer,$51.00 /hr,$58.00,$54.50 /hr (est.),4.0,"The World's Largest Social Network
4.0","Boston, MA",1 to 50 Employees,2012,Private Practice / Firm,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
Senior Service Engineer - Audio-Visual System Engineer,$106K ,$176K,"$136,450 /yr (est.)",4.4,"Microsoft
4.4","Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Sr Engineer - Audio-Visual Design,,,,3.7,"TARGET
3.7","Brooklyn Park, MN",10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD)
Audio Visual Production Engineer,$49K ,$97K,"$69,038 /yr (est.)",4.4,"United Center Joint Venture
4.4","Chicago, IL",1 to 50 Employees,,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Senior Audio Visual Design Engineer,$77K ,$158K,"$109,986 /yr (est.)",4.3,"MasterCard
4.3","O'Fallon, MO",10000+ Employees,1966,Company - Public,Financial Transaction Processing,Financial Services,$5 to $10 billion (USD)
Audio Visual Technician (Sr. Engineer),$56K ,$105K,"$76,944 /yr (est.)",3.9,"Edwards Lifesciences
3.9","Irvine, CA",10000+ Employees,1958,Company - Public,Health Care Products Manufacturing,Manufacturing,$2 to $5 billion (USD)
Sr. Network Technician-Audio Visual 1,$35K ,$67K,"$48,321 /yr (est.)",3.6,"Johns Hopkins Health System
3.6","Saint Petersburg, FL",1001 to 5000 Employees,1889,Company - Private,Health Care Services & Hospitals,Healthcare,$500 million to $1 billion (USD)
Audio Visual Collaboration Engineer,$57K ,$112K,"$80,142 /yr (est.)",3.0,"Texas Capital Bank
3.0","Richardson, TX",1001 to 5000 Employees,1998,Company - Public,Banking & Lending,Financial Services,Unknown / Non-Applicable
Audio Visual Engineer,$44K ,$96K,"$65,147 /yr (est.)",4.2,"Susquehanna International Group
4.2","Bala Cynwyd, PA",1001 to 5000 Employees,1987,Company - Private,Stock Exchanges,Financial Services,Unknown / Non-Applicable
Audio Visual Field Engineer,$40K ,$72K,"$53,388 /yr (est.)",3.7,"NEW ERA TECHNOLOGY
3.7","Minnetonka, MN",501 to 1000 Employees,,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Audio Visual Engineer,$70K ,$139K,"$98,766 /yr (est.)",4.2,"Coupa Software
4.2","San Mateo, CA",1001 to 5000 Employees,2006,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Audio Visual Engineer - Information Technology Consultant - Career,$60K /mo,$60K,"$60,000 /mo (est.)",4.2,"California State University
4.2","San Francisco, CA",10000+ Employees,1962,College / University,Colleges & Universities,Education,$10+ billion (USD)
Audio Visual Systems Engineer,$38K ,$82K,"$55,582 /yr (est.)",3.0,"Riverside EpiCenter
3.0","Austell, GA",Unknown,,Company - Public,,,Unknown / Non-Applicable
Senior Audio-Visual Systems Engineer,$50K ,$90K,"$66,808 /yr (est.)",4.2,"Sacred Heart University
4.2","Fairfield, CT",501 to 1000 Employees,1963,College / University,Colleges & Universities,Education,$100 to $500 million (USD)
"Audio Visual Design Engineer - Anywhere, USA (MCE)",,,,3.6,"Diversified
3.6",New Jersey,1001 to 5000 Employees,1993,Company - Private,Telecommunications Services,Telecommunications,Unknown / Non-Applicable
Sneaky Big Studios - Audio Engineer,$40K ,$85K,"$57,992 /yr (est.)",1.9,"Yam Worldwide
1.9","Scottsdale, AZ",501 to 1000 Employees,2010,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable
Audio Visual Engineer,$60K ,$70K,"$65,000 /yr (est.)",3.3,"First Baptist Church of Glenarden
3.3","Landover, MD",51 to 200 Employees,1917,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$10 to $25 million (USD)
Audio Visual (AV) Post Engineer,$39K ,$79K,"$55,858 /yr (est.)",3.6,"Golden Star Technology
3.6","Cerritos, CA",51 to 200 Employees,1985,Company - Private,Information Technology Support Services,Information Technology,$50 to $100 million (USD)
Freelance Audio Engineer I,$29K ,$56K,"$40,427 /yr (est.)",4.7,"Cory's Audio Visual
4.7","Oklahoma City, OK",1 to 50 Employees,1953,Company - Private,Audiovisual,"Arts, Entertainment & Recreation",Unknown / Non-Applicable
Audio Visual Design Engineer,$49K ,$79K,"$62,092 /yr (est.)",3.1,"JSC Systems
3.1","Jacksonville, FL",51 to 200 Employees,1969,Company - Private,Security & Protective,Management & Consulting,Unknown / Non-Applicable
Coordinator and Audio-Video Engineer,$42K ,$45K,"$43,456 /yr (est.)",4.3,"Youngstown State University
4.3","Youngstown, OH",1001 to 5000 Employees,1908,College / University,Colleges & Universities,Education,$100 to $500 million (USD)
Audio-Visual Engineer Tier III,$35.00 /hr,$45.00,$40.00 /hr (est.),3.6,"AIS
3.6","Golden, CO",5001 to 10000 Employees,2003,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD)
Audio Visual Engineer,$64K ,$131K,"$91,883 /yr (est.)",3.7,"Cameo Global, Inc
3.7","Sunnyvale, CA",501 to 1000 Employees,1994,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Audio & Visual Engineer,$32K ,$57K,"$42,529 /yr (est.)",4.0,"Oral Roberts University
4.0","Tulsa, OK",1001 to 5000 Employees,1963,College / University,Colleges & Universities,Education,$100 to $500 million (USD)
Audio Visual Design Engineer,$55K ,$107K,"$76,622 /yr (est.)",4.0,"PEC Solutions LLC
4.0","Las Vegas, NV",1001 to 5000 Employees,,Company - Private,,,Unknown / Non-Applicable
Audio Visual Technicians Sought,$30K ,$52K,"$39,354 /yr (est.)",4.5,"Rhino Staging
4.5","Las Vegas, NV",501 to 1000 Employees,1991,Company - Private,Culture & Entertainment,"Arts, Entertainment & Recreation",$50 to $100 million (USD)
Audio Visual Field Engineer,$60K ,$100K,"$80,000 /yr (est.)",,Digital Labor Solutions,"Boston, MA",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Audio Visual Field Engineer,$34K ,$65K,"$47,005 /yr (est.)",3.1,"VIDEO REALITY INC
3.1","Oklahoma City, OK",1 to 50 Employees,1993,Company - Private,Consumer Electronics & Appliances Stores,Retail & Wholesale,Unknown / Non-Applicable
AUDIO VIDEO SYSTEMS ENGINEER/Jr. CRESTRON PROGRAMMER,,,"$90,000 /yr (est.)",3.6,"LSS
3.6","Olympia, WA",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Audio Engineer/Production Team Member,,,,,Christ Church Charlotte,"Charlotte, NC",,,,,,
A/V Project Manager / Systems Design Engineer - Low Voltage Audio Video,$60K ,$80K,"$70,000 /yr (est.)",,In-Focus Systems,United States,,,,,,
R&D Test Engineer,$75K ,$75K,"$75,000 /yr (est.)",,Astronics AES,"Kirkland, WA",,,,,,
Audio Visual Technician,$33.00 /hr,$42.00,$37.50 /hr (est.),3.7,"NWN Carousel
3.7","Brighton, MI",1001 to 5000 Employees,1986,Company - Private,,,Unknown / Non-Applicable
Lead Audio Visual Engineer,$74K ,$140K,"$101,570 /yr (est.)",4.1,"SAIC
4.1","Washington, DC",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$5 to $10 million (USD)
AV Service Engineer,$80K ,$85K,"$82,500 /yr (est.)",,Presentation Products Inc,"New York, NY",,,,,,
Audio / Visual Support Specialist,$15.00 /hr,$22.00,$18.50 /hr (est.),4.0,"Insight Global
4.0","Salt Lake City, UT",1001 to 5000 Employees,2001,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $50 million (USD)
AV Field Engineer/Audio/Video Technician/Audio Visual Specialist,$35K ,$76K,"$51,913 /yr (est.)",3.3,"Quantum World Technologies Inc.
3.3","Baytown, TX",51 to 200 Employees,,Company - Private,,,Unknown / Non-Applicable
Information Technology Help Desk Support - Up to $95k,$85K ,$95K,"$90,000 /yr (est.)",,"Recruiting Resources, Inc.","Pasadena, CA",1 to 50 Employees,,Private Practice / Firm,,,Unknown / Non-Applicable
AV Field Engineer/Audio/Video Technician/Audio Visual Specialist,$35K ,$76K,"$51,913 /yr (est.)",3.3,"Quantum World Technologies Inc.
3.3","Baytown, TX",51 to 200 Employees,,Company - Private,,,Unknown / Non-Applicable
Audio Visual Technician,$30.00 /hr,$40.00,$35.00 /hr (est.),,Otomashen Inc,"New York, NY",Unknown,,Company - Public,,,Unknown / Non-Applicable
Technical Sound Designer,$51.00 /hr,$58.00,$54.50 /hr (est.),4.0,"The World's Largest Social Network
4.0","San Diego, CA",1 to 50 Employees,2012,Private Practice / Firm,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
Technical Sound Designer,$51.00 /hr,$58.00,$54.50 /hr (est.),4.0,"The World's Largest Social Network
4.0","San Diego, CA",1 to 50 Employees,2012,Private Practice / Firm,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
AUDIO VIDEO SYSTEMS ENGINEER/Jr. CRESTRON PROGRAMMER,$80K ,$100K,"$90,000 /yr (est.)",3.5,"State of Washington Legislative Support Services
3.5","Olympia, WA",10000+ Employees,1889,Government,State & Regional Agencies,Government & Public Administration,$10+ billion (USD)
Audio Visual Technician (Sr. Engineer),$56K ,$105K,"$76,944 /yr (est.)",3.9,"Edwards Lifesciences
3.9","Irvine, CA",10000+ Employees,1958,Company - Public,Health Care Products Manufacturing,Manufacturing,$2 to $5 billion (USD)
Professional Audio-Visual Systems Engineer,$47K ,$82K,"$62,446 /yr (est.)",3.4,"TRITECH
3.4","Garden City, NY",1 to 50 Employees,,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 million (USD)
"Audio Visual Design Engineer - Anywhere, USA (MCE)",,,,3.6,"Diversified
3.6",New Jersey,1001 to 5000 Employees,1993,Company - Private,Telecommunications Services,Telecommunications,Unknown / Non-Applicable
Audio-Visual Engineer Tier III,$35.00 /hr,$45.00,$40.00 /hr (est.),3.6,"AIS
3.6","Golden, CO",5001 to 10000 Employees,2003,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD)
Coordinator and Audio-Video Engineer,$42K ,$45K,"$43,456 /yr (est.)",4.3,"Youngstown State University
4.3","Youngstown, OH",1001 to 5000 Employees,1908,College / University,Colleges & Universities,Education,$100 to $500 million (USD)
Audio Visual Engineer Technical Specialist,$97K ,$97K,"$97,200 /yr (est.)",3.6,"Peraton
3.6","Honolulu, HI",10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD)
Audio Visual Fabrication Engineer,$54K ,$117K,"$79,670 /yr (est.)",4.0,"Exeter Government Servi
4.0","Augusta, GA",51 to 200 Employees,2002,Government,Information Technology Support Services,Information Technology,$25 to $50 million (USD)
Audio Visual Fabrication Engineer,$54K ,$117K,"$79,670 /yr (est.)",4.0,"Exeter Government Servi
4.0","Augusta, GA",51 to 200 Employees,2002,Government,Information Technology Support Services,Information Technology,$25 to $50 million (USD)
Audio Visual Project Engineer,$64K ,$119K,"$87,469 /yr (est.)",3.6,"DGI Communications
3.6","Billerica, MA",51 to 200 Employees,,Company - Private,,,Unknown / Non-Applicable
Audio Visual Fabrication Engineer – Senior,$62K ,$127K,"$88,844 /yr (est.)",4.7,"CHOISYS TECHNOLOGY INC
4.7","Fort Gordon, GA",51 to 200 Employees,,Company - Private,,,Less than $1 million (USD)
Audio Visual Design Engineer,,,,,Commercial Technology Integration LLC,"Clifton, NJ",,,,,,
UC - Audio Visual/Multimedia Engineer Level 2,$38K ,$83K,"$55,821 /yr (est.)",5.0,"IMPYRIAN
5.0","Fort Meade, MD",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Onsite Audio Visual Engineer,$43K ,$90K,"$62,229 /yr (est.)",3.7,"AVI-SPL
3.7","Redwood City, CA",1001 to 5000 Employees,1979,Company - Private,Telecommunications Services,Telecommunications,$500 million to $1 billion (USD)
Onsite Audio Visual Engineer,$43K ,$90K,"$62,229 /yr (est.)",3.7,"AVI-SPL
3.7","Redwood City, CA",1001 to 5000 Employees,1979,Company - Private,Telecommunications Services,Telecommunications,$500 million to $1 billion (USD)
Audio Visual Engineer,$43K ,$93K,"$67,985 /yr (est.)",3.6,"Barnes & Thornburg LLP
3.6","Chicago, IL",1001 to 5000 Employees,1940,Company - Private,Legal,Legal,$100 to $500 million (USD)
AUDIO VIDEO SYSTEMS ENGINEER/Jr. CRESTRON PROGRAMMER,,,"$90,000 /yr (est.)",3.6,"LSS
3.6","Olympia, WA",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Lead Audio Visual Engineer,$74K ,$140K,"$101,570 /yr (est.)",4.1,"SAIC
4.1","Washington, DC",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$5 to $10 million (USD)
Audio Visual Technician,$28.00 /hr,$43.00,$35.50 /hr (est.),3.7,"NWN Corporation
3.7","New York, NY",1001 to 5000 Employees,1986,Company - Private,,,Unknown / Non-Applicable
Sr. Audio-Visual Engineer,$120K ,$120K,"$120,000 /yr (est.)",4.2,"The Mom Project
4.2","New York, NY",51 to 200 Employees,2016,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
AV Systems Engineer,$26.44 /hr,$64.27,$45.35 /hr (est.),4.0,"UCLA Health
4.0","Los Angeles, CA",5001 to 10000 Employees,1919,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
Information Technology Help Desk Support - Up to $95k,$85K ,$95K,"$90,000 /yr (est.)",,"Recruiting Resources, Inc.","Pasadena, CA",1 to 50 Employees,,Private Practice / Firm,,,Unknown / Non-Applicable
AV Engineer,,,,3.8,"DoorDash
3.8","San Francisco, CA",5001 to 10000 Employees,2013,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
AV Field Engineer/Audio/Video Technician/Audio Visual Specialist,$35K ,$76K,"$51,913 /yr (est.)",3.3,"Quantum World Technologies Inc.
3.3","Baytown, TX",51 to 200 Employees,,Company - Private,,,Unknown / Non-Applicable
AV Technician,$18.00 /hr,$35.00,$26.50 /hr (est.),4.1,"Mason Technologies Inc.
4.1",New York State,51 to 200 Employees,2002,Company - Private,Telecommunications Services,Telecommunications,$25 to $50 million (USD)
Audio Visual Technician,$30.00 /hr,$40.00,$35.00 /hr (est.),,Otomashen Inc,"New York, NY",Unknown,,Company - Public,,,Unknown / Non-Applicable
AV Engineer,$40.00 /hr,$60.00,$50.00 /hr (est.),4.0,"Insight Global
4.0","New York, NY",1001 to 5000 Employees,2001,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $50 million (USD)
AUDIO VIDEO SYSTEMS ENGINEER/Jr. CRESTRON PROGRAMMER,$80K ,$100K,"$90,000 /yr (est.)",3.5,"State of Washington Legislative Support Services
3.5","Olympia, WA",10000+ Employees,1889,Government,State & Regional Agencies,Government & Public Administration,$10+ billion (USD)
Audio Visual Design Engineer,$55K ,$104K,"$75,934 /yr (est.)",4.0,"PEC Solutions LLC
4.0","Plymouth, MN",1001 to 5000 Employees,,Company - Private,,,Unknown / Non-Applicable
Professional Audio-Visual Systems Engineer,$47K ,$82K,"$62,446 /yr (est.)",3.4,"TRITECH
3.4","Garden City, NY",1 to 50 Employees,,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 million (USD)
Audio Visual Engineer,$53K ,$111K,"$76,845 /yr (est.)",3.7,"New Era Technology
3.7","New York, NY",501 to 1000 Employees,,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Audio Visual Engineer,$70K ,$139K,"$98,766 /yr (est.)",4.2,"Coupa Software
4.2","San Mateo, CA",1001 to 5000 Employees,2006,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Audio Visual and Technical Support Specialist,,,,3.7,"International Rescue Committee
3.7","New York, NY",5001 to 10000 Employees,,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$500 million to $1 billion (USD)
AV System Engineer,$80K ,$90K,"$85,000 /yr (est.)",2.0,"ELB US Inc.
2.0",Remote,201 to 500 Employees,1986,Company - Private,Computer Hardware Development,Information Technology,$50 to $100 million (USD)
Audio Visual Technician,$20.00 /hr,$50.00,$35.00 /hr (est.),,Corporate Audio Visual Labor,"New Orleans, LA",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
AV Systems Engineer,$67K ,$119K,"$89,035 /yr (est.)",4.4,"New Jersey Institute of Technology
4.4","Newark, NJ",1001 to 5000 Employees,1881,College / University,Colleges & Universities,Education,$100 to $500 million (USD)
Systems Engineer- AV,$67K ,$130K,"$93,471 /yr (est.)",4.1,"NBCUniversal
4.1","New York, NY",5001 to 10000 Employees,,Subsidiary or Business Segment,Broadcast Media,Media & Communication,$5 to $10 million (USD)
Information Technology (IT) Support Specialist,$36K ,$80K,"$54,090 /yr (est.)",3.0,"Whittle School & Studios
3.0","Washington, DC",51 to 200 Employees,2018,School / School District,Primary & Secondary Schools,Education,Unknown / Non-Applicable
Audio/Visual Technician,$35K ,$68K,"$49,136 /yr (est.)",3.6,"Signet Electronic System Inc
3.6","Norwell, MA",51 to 200 Employees,1974,Company - Private,Telecommunications Services,Telecommunications,Unknown / Non-Applicable
"IT Infrastructure Engineer - Washington, D.C.",$93K ,$197K,"$135,336 /yr (est.)",3.6,"TikTok
3.6","Washington, DC",1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Audio Visual Field Engineer,$44K ,$80K,"$59,047 /yr (est.)",3.8,"IES Communications
3.8","Sterling, VA",51 to 200 Employees,,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,Unknown / Non-Applicable
Audio Visual Technician,$41K ,$82K,"$58,414 /yr (est.)",4.1,"McKinstry
4.1","Seattle, WA",1001 to 5000 Employees,1960,Company - Private,Construction,"Construction, Repair & Maintenance Services",$500 million to $1 billion (USD)
Audio/Video Journey Technician in IT Customer Support,$65K /mo,$65K,"$64,752 /mo (est.)",3.8,"Central Washington University
3.8","Ellensburg, WA",Unknown,,College / University,Colleges & Universities,Education,Unknown / Non-Applicable
Unified Comms/Audio Visual Engineer (AV Engineering),$45K ,$98K,"$66,542 /yr (est.)",3.6,"Precision Solutions
3.6","Arnold, MO",1 to 50 Employees,,Company - Private,Consumer Product Manufacturing,Manufacturing,$10 to $25 million (USD)
Entry-Level Engineering Cab (eCab) Systems & Integration Engineers,$84K ,$176K,"$121,623 /yr (est.)",3.8,"BOEING
3.8","Seattle, WA",10000+ Employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Audio-Visual Field Engineer,,,,3.3,"Vision Technologies, Inc
3.3","Washington, DC",501 to 1000 Employees,2000,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD)
AUDIO VIDEO SYSTEMS ENGINEER/Jr. CRESTRON PROGRAMMER,,,"$90,000 /yr (est.)",3.6,"LSS
3.6","Olympia, WA",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Audio Visual Technician,$33.00 /hr,$42.00,$37.50 /hr (est.),3.7,"NWN Carousel
3.7","Brighton, MI",1001 to 5000 Employees,1986,Company - Private,,,Unknown / Non-Applicable
Lead Audio Visual Engineer,$74K ,$140K,"$101,570 /yr (est.)",4.1,"SAIC
4.1","Washington, DC",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$5 to $10 million (USD)
Sr. Audio-Visual Engineer,$120K ,$120K,"$120,000 /yr (est.)",4.2,"The Mom Project
4.2","New York, NY",51 to 200 Employees,2016,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
Senior Audio Visual Technician,$34.00 /hr,$48.00,$41.00 /hr (est.),,"Synapse Audio Visual Designs, LLC","Paramus, NJ",,,,,,
AV Technician,$70K ,$80K,"$75,000 /yr (est.)",3.6,"CI Software
3.6","Lexington, MA",501 to 1000 Employees,,Franchise,Travel Agencies,Hotels & Travel Accommodation,Unknown / Non-Applicable
AV Systems Engineer,$26.44 /hr,$64.27,$45.35 /hr (est.),4.0,"UCLA Health
4.0","Los Angeles, CA",5001 to 10000 Employees,1919,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
Audio Visual Technician,,,,2.9,"Howard Technology Solutions
2.9",United States,1 to 50 Employees,1968,Company - Private,Electronics Manufacturing,Manufacturing,$500 million to $1 billion (USD)
Information Technology Help Desk Support - Up to $95k,$85K ,$95K,"$90,000 /yr (est.)",,"Recruiting Resources, Inc.","Pasadena, CA",1 to 50 Employees,,Private Practice / Firm,,,Unknown / Non-Applicable
AV Engineer,,,,3.8,"DoorDash
3.8","San Francisco, CA",5001 to 10000 Employees,2013,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
AV Field Engineer/Audio/Video Technician/Audio Visual Specialist,$35K ,$76K,"$51,913 /yr (est.)",3.3,"Quantum World Technologies Inc.
3.3","Baytown, TX",51 to 200 Employees,,Company - Private,,,Unknown / Non-Applicable
AV Technician,$18.00 /hr,$35.00,$26.50 /hr (est.),4.1,"Mason Technologies Inc.
4.1",New York State,51 to 200 Employees,2002,Company - Private,Telecommunications Services,Telecommunications,$25 to $50 million (USD)
