Job Title,Salary Minimum,Salary Maximum,Salary Average,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Average Hourly Rate,Converted Salary,City,State
Data Analyst,60 ,70,65000 ,3.5,MIAC Analytics,"Charlotte, NC",51 to 200 Employees,1989.0,Company - Private,Investment & Asset Management,Financial Services,$10 to $25 million (USD),0,65000 ,Charlotte, NC
Junior Data Analyst,51 ,85,67909 ,,Professional Services,"Hackensack, NJ",,,,,,,0,67909 ,Hackensack, NJ
Senior Data Science Analyst,70 ,108,86836 ,3.9,Discover,"Riverwoods, IL",1001 to 5000 Employees,1985.0,Company - Public,Banking & Lending,Financial Services,$25 to $50 million (USD),0,86836 ,Riverwoods, IL
"Strategy and Data Analyst, Sustainability",79 ,164,113854 ,4.0,Uber,"San Francisco, CA",10000+ Employees,2009.0,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),0,113854 ,San Francisco, CA
IT-Data Analyst,45 ,82,61021 ,3.9,Federated Mutual Insurance Company,"Owatonna, MN",1001 to 5000 Employees,1904.0,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),0,61021 ,Owatonna, MN
Data Analyst - Merchandising (Remote),40 ,89,59811 ,3.8,CustomInk,"New York, NY",1001 to 5000 Employees,2000.0,Company - Private,Other Retail Stores,Retail & Wholesale,$100 to $500 million (USD),0,59811 ,New York, NY
Part-Time Data Review Analyst - Solvas Financial Technology,59 ,108,80133 ,4.0,Deloitte,"Atlanta, GA",10000+ Employees,1850.0,Company - Private,Accounting & Tax,Financial Services,$10+ billion (USD),0,80133 ,Atlanta, GA
Research and Data Analyst,51 ,91,67848 ,4.1,Association of American Medical Colleges,"Washington, DC",501 to 1000 Employees,1876.0,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD),0,67848 ,Washington, DC
Data Modelling Analyst,40 ,85,58299 ,3.9,Aurora Energy Research Limited,"Austin, TX",201 to 500 Employees,2013.0,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,0,58299 ,Austin, TX
Jr. Data Analyst,34.00 ,36.00,35.00 ,4.9,Spartan Capital Group LLC,Remote,1 to 50 Employees,2018.0,Company - Private,Business Consulting,Management & Consulting,$1 to $5 million (USD),1,72800,Remote,Remote
Data Analyst,50 ,98,73786 ,3.8,Nationwide Children's Hospital,"Columbus, OH",10000+ Employees,1892.0,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $2 billion (USD),0,73786 ,Columbus, OH
Data Analyst (SQL),159 ,159,159100 ,3.6,Peraton,"Seaside, CA",10000+ Employees,2017.0,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),0,159100 ,Seaside, CA
IT Data Analyst,62 ,100,81000 ,3.0,"DTRIC Insurance Company, Limited","Honolulu, HI",51 to 200 Employees,1992.0,Company - Public,Insurance Carriers,Insurance,$10 to $25 million (USD),0,81000 ,Honolulu, HI
Data Analyst,90 ,110,100000 ,4.6,Store Space Self Storage,"Greenwood Village, CO",201 to 500 Employees,2017.0,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,0,100000 ,Greenwood Village, CO
"Analyst, Product Research, Telematics & Mobility Data Products",62 ,100,81200 ,3.9,Liberty Mutual Insurance,Remote,10000+ Employees,1912.0,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),0,81200 ,Remote,Remote
Senior Data Analyst,77 ,142,104871 ,3.6,Point32Health,"Canton, MA",1001 to 5000 Employees,2021.0,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,0,104871 ,Canton, MA
HRIS Applications & Data Analyst,50 ,109,73975 ,4.3,George Mason University,"Fairfax, VA",5001 to 10000 Employees,1963.0,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),0,73975 ,Fairfax, VA
"Data Analyst, Commercial Buildings and Integrated Systems",80 ,86,83000 ,3.6,Northwest Energy Efficiency Alliance,Remote,51 to 200 Employees,1996.0,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$25 to $50 million (USD),0,83000 ,Remote,Remote
Senior Data Analyst (Remote),64 ,119,87409 ,3.8,Epsilon,"Chicago, IL",5001 to 10000 Employees,1969.0,Subsidiary or Business Segment,Advertising & Public Relations,Media & Communication,$2 to $5 billion (USD),0,87409 ,Chicago, IL
Sr Data Analyst,67 ,139,96678 ,2.8,"Driven Brands, Inc.","Charlotte, NC",1001 to 5000 Employees,2006.0,Company - Public,Automotive Parts & Accessories Stores,Retail & Wholesale,$100 to $500 million (USD),0,96678 ,Charlotte, NC
Data Analyst,45 ,87,62478 ,3.8,Epsilon,"West Chicago, IL",5001 to 10000 Employees,1969.0,Subsidiary or Business Segment,Advertising & Public Relations,Media & Communication,$2 to $5 billion (USD),0,62478 ,West Chicago, IL
Data Analyst,97 ,135,116000 ,3.6,KEYENCE,"Itasca, IL",5001 to 10000 Employees,1974.0,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 million (USD),0,116000 ,Itasca, IL
Data Analyst (remote),60 ,80,70000 ,2.9,CarePoint Health,"Denver, CO",201 to 500 Employees,,Company - Private,Health Care Services & Hospitals,Healthcare,$5 to $10 million (USD),0,70000 ,Denver, CO
Digital Data Analyst,50 ,94,68946 ,3.3,Amica Mutual Insurance Company,"Lincoln, RI",1001 to 5000 Employees,1907.0,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),0,68946 ,Lincoln, RI
Senior Data Science Analyst,70 ,108,86836 ,3.9,Discover,"Riverwoods, IL",1001 to 5000 Employees,1985.0,Company - Public,Banking & Lending,Financial Services,$25 to $50 million (USD),0,86836 ,Riverwoods, IL
Business Data Analyst - Onboarding,65 ,85,75000 ,3.8,Addison Group,"Dallas, TX",501 to 1000 Employees,1999.0,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,Unknown / Non-Applicable,0,75000 ,Dallas, TX
Data Analyst,75 ,90,82500 ,,Research & Planning Consultants LP,Remote,,,,,,,0,82500 ,Remote,Remote
Sr Data Analyst,73 ,145,103018 ,3.3,Disney Streaming,"Santa Monica, CA",501 to 1000 Employees,2018.0,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,103018 ,Santa Monica, CA
Data Analyst,48 ,95,67240 ,3.6,Lucid Motors,"Casa Grande, AZ",5001 to 10000 Employees,2007.0,Company - Public,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable,0,67240 ,Casa Grande, AZ
Senior Associate (Data Science/Data Analytics/Statistical Modeling),60 ,90,75000 ,4.9,First Help Financial,Remote,51 to 200 Employees,2006.0,Company - Private,Banking & Lending,Financial Services,$10 to $25 million (USD),0,75000 ,Remote,Remote
Senior Data Analyst (remote),95 ,120,107500 ,2.9,CarePoint Health,"Salt Lake City, UT",201 to 500 Employees,,Company - Private,Health Care Services & Hospitals,Healthcare,$5 to $10 million (USD),0,107500 ,Salt Lake City, UT
Data Analyst,22.00 ,26.00,24.00 ,,Bexar County Community Health Collaborative,"San Antonio, TX",,,,,,,1,49920,San Antonio, TX
Data Analyst,95 ,100,97500 ,3.6,YSI,"Richmond, VA",10000+ Employees,2011.0,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$2 to $5 billion (USD),0,97500 ,Richmond, VA
Data Analyst - Merchandising (Remote),40 ,89,59811 ,3.8,CustomInk,"New York, NY",1001 to 5000 Employees,2000.0,Company - Private,Other Retail Stores,Retail & Wholesale,$100 to $500 million (USD),0,59811 ,New York, NY
Data Analyst - Merchandising (Remote),40 ,89,59811 ,3.8,CustomInk,"New York, NY",1001 to 5000 Employees,2000.0,Company - Private,Other Retail Stores,Retail & Wholesale,$100 to $500 million (USD),0,59811 ,New York, NY
Part-Time Data Review Analyst - Solvas Financial Technology,59 ,108,80133 ,4.0,Deloitte,"Atlanta, GA",10000+ Employees,1850.0,Company - Private,Accounting & Tax,Financial Services,$10+ billion (USD),0,80133 ,Atlanta, GA
Research and Data Analyst,51 ,91,67848 ,4.1,Association of American Medical Colleges,"Washington, DC",501 to 1000 Employees,1876.0,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD),0,67848 ,Washington, DC
Data Modelling Analyst,40 ,85,58299 ,3.9,Aurora Energy Research Limited,"Austin, TX",201 to 500 Employees,2013.0,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,0,58299 ,Austin, TX
IT Data Analyst,62 ,100,81000 ,3.0,"DTRIC Insurance Company, Limited","Honolulu, HI",51 to 200 Employees,1992.0,Company - Public,Insurance Carriers,Insurance,$10 to $25 million (USD),0,81000 ,Honolulu, HI
Senior Data Analyst,77 ,142,104871 ,3.6,Point32Health,"Canton, MA",1001 to 5000 Employees,2021.0,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,0,104871 ,Canton, MA
Jr. Data Analyst,34.00 ,36.00,35.00 ,4.9,Spartan Capital Group LLC,Remote,1 to 50 Employees,2018.0,Company - Private,Business Consulting,Management & Consulting,$1 to $5 million (USD),1,72800,Remote,Remote
HRIS Applications & Data Analyst,50 ,109,73975 ,4.3,George Mason University,"Fairfax, VA",5001 to 10000 Employees,1963.0,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),0,73975 ,Fairfax, VA
Data Analyst,90 ,110,100000 ,4.6,Store Space Self Storage,"Greenwood Village, CO",201 to 500 Employees,2017.0,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,0,100000 ,Greenwood Village, CO
Data Analyst,50 ,98,73786 ,3.8,Nationwide Children's Hospital,"Columbus, OH",10000+ Employees,1892.0,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $2 billion (USD),0,73786 ,Columbus, OH
Business Data Analyst,56 ,112,79314 ,4.3,Intuit - Data,"San Diego, CA",10000+ Employees,1983.0,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD),0,79314 ,San Diego, CA
Senior Data Analyst (Remote),64 ,119,87409 ,3.8,Epsilon,"Chicago, IL",5001 to 10000 Employees,1969.0,Subsidiary or Business Segment,Advertising & Public Relations,Media & Communication,$2 to $5 billion (USD),0,87409 ,Chicago, IL
Data Analyst (SQL),159 ,159,159100 ,3.6,Peraton,"Seaside, CA",10000+ Employees,2017.0,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),0,159100 ,Seaside, CA
Data Analyst,97 ,135,116000 ,3.6,KEYENCE,"Itasca, IL",5001 to 10000 Employees,1974.0,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 million (USD),0,116000 ,Itasca, IL
Data Analyst,45 ,87,62478 ,3.8,Epsilon,"West Chicago, IL",5001 to 10000 Employees,1969.0,Subsidiary or Business Segment,Advertising & Public Relations,Media & Communication,$2 to $5 billion (USD),0,62478 ,West Chicago, IL
Senior Data Analyst (remote),95 ,120,107500 ,2.9,CarePoint Health,"Denver, CO",201 to 500 Employees,,Company - Private,Health Care Services & Hospitals,Healthcare,$5 to $10 million (USD),0,107500 ,Denver, CO
Data Analyst,75 ,90,82500 ,,Research & Planning Consultants LP,Remote,,,,,,,0,82500 ,Remote,Remote
Sr Data Analyst,73 ,145,103018 ,3.3,Disney Streaming,"Santa Monica, CA",501 to 1000 Employees,2018.0,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,103018 ,Santa Monica, CA
Data Analyst,48 ,95,67240 ,3.6,Lucid Motors,"Casa Grande, AZ",5001 to 10000 Employees,2007.0,Company - Public,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable,0,67240 ,Casa Grande, AZ
Data Analyst,75 ,90,82500 ,,Research & Planning Consultants LP,Remote,,,,,,,0,82500 ,Remote,Remote
Sr Data Analyst,67 ,139,96678 ,2.8,"Driven Brands, Inc.","Charlotte, NC",1001 to 5000 Employees,2006.0,Company - Public,Automotive Parts & Accessories Stores,Retail & Wholesale,$100 to $500 million (USD),0,96678 ,Charlotte, NC
Digital Data Analyst,50 ,94,68946 ,3.3,Amica Mutual Insurance Company,"Lincoln, RI",1001 to 5000 Employees,1907.0,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),0,68946 ,Lincoln, RI
Digital Data Analyst,50 ,94,68946 ,3.3,Amica Mutual Insurance Company,"Lincoln, RI",1001 to 5000 Employees,1907.0,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),0,68946 ,Lincoln, RI
Sr. Data Analyst,54 ,104,75257 ,3.6,Harvard Pilgrim Health Care Institute,"Hartford, CT",1001 to 5000 Employees,1969.0,Nonprofit Organization,Insurance Carriers,Insurance,$1 to $2 billion (USD),0,75257 ,Hartford, CT
Sr Data Analyst,73 ,145,103018 ,3.3,Disney Streaming,"Santa Monica, CA",501 to 1000 Employees,2018.0,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,103018 ,Santa Monica, CA
"Strategy and Data Analyst, Sustainability",79 ,164,113854 ,4.0,Uber,"San Francisco, CA",10000+ Employees,2009.0,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),0,113854 ,San Francisco, CA
Statistical Data Analyst,60 ,80,70000 ,4.4,Pattern,"Omaha, NE",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,0,70000 ,Omaha, NE
Data Analyst - Merchandising (Remote),40 ,89,59811 ,3.8,CustomInk,"New York, NY",1001 to 5000 Employees,2000.0,Company - Private,Other Retail Stores,Retail & Wholesale,$100 to $500 million (USD),0,59811 ,New York, NY
Data and Systems Analyst,62 ,111,82954 ,3.6,XLA Associates,"Lorton, VA",201 to 500 Employees,1989.0,Private Practice / Firm,Business Consulting,Management & Consulting,$25 to $50 million (USD),0,82954 ,Lorton, VA
Research and Data Analyst,51 ,91,67848 ,4.1,Association of American Medical Colleges,"Washington, DC",501 to 1000 Employees,1876.0,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD),0,67848 ,Washington, DC
Data Modelling Analyst,40 ,85,58299 ,3.9,Aurora Energy Research Limited,"Austin, TX",201 to 500 Employees,2013.0,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,0,58299 ,Austin, TX
IT Data Analyst,62 ,100,81000 ,3.0,"DTRIC Insurance Company, Limited","Honolulu, HI",51 to 200 Employees,1992.0,Company - Public,Insurance Carriers,Insurance,$10 to $25 million (USD),0,81000 ,Honolulu, HI
Data Analyst,90 ,110,100000 ,4.6,Store Space Self Storage,"Greenwood Village, CO",201 to 500 Employees,2017.0,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,0,100000 ,Greenwood Village, CO
Senior Data Analyst (remote),95 ,120,107500 ,2.9,CarePoint Health,"Denver, CO",201 to 500 Employees,,Company - Private,Health Care Services & Hospitals,Healthcare,$5 to $10 million (USD),0,107500 ,Denver, CO
Jr. Data Analyst,34.00 ,36.00,35.00 ,4.9,Spartan Capital Group LLC,Remote,1 to 50 Employees,2018.0,Company - Private,Business Consulting,Management & Consulting,$1 to $5 million (USD),1,72800,Remote,Remote
Business Data Analyst,56 ,112,79314 ,4.3,Intuit - Data,"San Diego, CA",10000+ Employees,1983.0,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD),0,79314 ,San Diego, CA
Data Analyst (SQL),159 ,159,159100 ,3.6,Peraton,"Seaside, CA",10000+ Employees,2017.0,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),0,159100 ,Seaside, CA
Data Analyst (remote),60 ,80,70000 ,2.9,CarePoint Health,"Denver, CO",201 to 500 Employees,,Company - Private,Health Care Services & Hospitals,Healthcare,$5 to $10 million (USD),0,70000 ,Denver, CO
Data Analyst (focus on PowerBI and DAX),80 ,100,90000 ,5.0,RSM Solutions Inc,Remote,1 to 50 Employees,,Contract,Business Consulting,Management & Consulting,Less than $1 million (USD),0,90000 ,Remote,Remote
Senior Data Analyst,77 ,142,104871 ,3.6,Point32Health,"Canton, MA",1001 to 5000 Employees,2021.0,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,0,104871 ,Canton, MA
Data Analyst,50 ,98,73786 ,3.8,Nationwide Children's Hospital,"Columbus, OH",10000+ Employees,1892.0,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $2 billion (USD),0,73786 ,Columbus, OH
"Data Analyst, Commercial Buildings and Integrated Systems",80 ,86,83000 ,3.6,Northwest Energy Efficiency Alliance,Remote,51 to 200 Employees,1996.0,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$25 to $50 million (USD),0,83000 ,Remote,Remote
